	895
JUVENILE DELINQUENCY INTERDEPARTMENTAL COUNCIL	2
NAVY DEPARTMENT	2
UNITED STATES SOCIAL SECURITY ADMINISTRATION OFFICE OF RESEARCH AND STATISTICS	2
DEPARTMENT OF TRANSPORTATION OFFICE OF SECRETARY	2
UNITED STATES OFFICE OF EDUCATION	2
FOREIGN AGRICULTURAL SERVICE UNITED STATES DEPARTMENT OF AGRICULTURE	2
UNITED STATES SOCIAL SECURITY ADMINISTRATION	2
UNITED STATES DEPARTMENT OF COMMERCE OFFICE OF TELECOMMUNICATIONS	2
UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE VOCATIONAL REHABILITATION ADMINISTRATION	2
UNITED STATES BUREAU OF RECLAMATION	2
UNITED STATES BUREAU OF LABOR STATISTICS	2
DEPARTMENT OF MEDICINE AND SURGERY VETERANS ADMINISTRATION	1
DEPARTMENT OF VETERANS BENEFITS	1
DIVISION FOR BLIND AND PHYSICALLYY HANDICAPPED LIBRARY OF CONGRESS	1
DEPARTMENT OF INTERIOR BUREAU OF EDUCATION AMERICANIZATION DIVISION	1
OVERSEAS PRIVATE INVESTMENT CORPORATION	1
DEPARTMENT OF HEALTH EDUCATION AND WELFARE OFFICE OF INSPECTOR GENERAL	1
GENERAL SERVICES ADMINISTRATION REGION 2	1
OFFICE OF LEGAL COUNSEL EQUAL EMPLOYMENT OPPORTUNITY COMMISSION	1
TOXICOLOGY INFORMATION SUBCOMMITTEE DHEW COMMITTEE TO COORDINATE TOXICOLOGY AND RELATED PROGRAMS	1
FEDERAL ELECTION COMMISSION OFFICE OF PUBLICATIONS	1
NATIONAL INSTITUTE ON DRUG ABUSE DIVISION OF SCIENTIFIC AND PROGRAM INFORMATION	1
UNITED STATES DEPARTMENT OF INTERIOR BUREAU OF MINES ETC	1
DEPARTMENT OF ENERGY FEDERAL ENERGY REGULATORY COMMISSION	1
CROP REPORTING BOARD ECONOMICS STATISTICS AND COOPERATIVES SERVICE UNITED STATES DEPARTMENT OF AGRICULTURE	1
UNITED STATES DEPARTMENT OF COMMERCE ETC	1
CHIEF OF NAVAL OPERATIONS	1
UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE EDUCATION DIVISION	1
UNITED STATES GPO SUPT OF DOCS DISTRIBUTOR	1
MILITARY TRAFFIC MANAGEMENT COMMAND	1
NATIONAL AERONAUTICS AND SPACE ADMINISTRATION OFFICE OF AERONAUTICS AND SPACE TECHNOLOGY	1
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT IN PARTNERSHIP WITH UNITED STATES DEPTS OF LABOR JUSTICE HEALTH AND HUMAN SERVICES INTERIOR PUBLIC HOUSING AGENCIES LOCAL GOVERNMENT AND CITIZENS	1
INTERAGENCY COMMITTEE ON MARINE SCIENCE AND ENGINEERING FEDERAL COUNCIL FOR SCIENCE AND TECHNOLOGY ETC	1
DOCUMENTS EXPEDITING DOCEX PROJECT EXCHANGE AND GIFT DIVISION LIBRARY OF CONGRESS DISTRIBUTOR	1
UNITED STATES DEPARTMENT OF INTERIOR GEOLOGICAL SURVEY OFFICE OF WATER DATA COORDINATION	1
CIVIL AERONAUTICS BOARD BUREAU OF ACCOUNTS AND STATISTICS ECONOMIC EVALUATION DIVISION STATISTICAL ANALYSIS SECTION	1
PUBLIC INFORMATION OFFICE OFFICE OF JUSTICE ASSISTANCE RESEARCH AND STATISTICS	1
UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE OFFICE OF HUMAN DEVELOPMENT SERVICES REHABILITATION SERVICES ADMINISTRATION	1
COMMUNITY ACTION PROGRAM OF OFFICE OF ECONOMIC OPPORTUNITY	1
REHABILITATION SERVICES ADMINISTRATION	1
UNITED STATES DEPARTMENT OF INTERIOR GEOLOGICAL SURVEY NATIONAL EARTHQUAKE INFORMATION SERVICE	1
HOME ECONOMICS RESEARCH BRANCH AGRICULTURAL RESEARCH SERVICE UNITED STATES DEPARTMENT OF AGRICULTURE	1
POST MASTER GENERAL	1
AVAILABLE ON SUBSCRIPTION FROM SUPT OF DOCS GOVERNMENT PRINT OFF	1
OFFICE OF PERSONNEL MANAGEMENT ETC	1
UNITED STATES OFFICE OF EDUCATION HISPANIC CONCERNS STAFF	1
UNITED STATES DEPARTMENT OF INTERIOR BUREAU OF INDIAN AFFAIRS OFFICE OF INDIAN EDUCATION PROGRAMS	1
OFFICE OF FLIGHT STANDARDS SERVICE FEDERAL AVIATION ADMINISTRATION DEPARTMENT OF TRANSPORTATION SOLD BY SUPT OF DOCS GOVERNMENT PRINT OFF	1
OFFICE OF PUBLIC AFFAIRS FEDERAL AVIATION AGENCY	1
NATIONAL WAR COLLEGE	1
OFFICE OF DEPUTY COMMISSIONER	1
NATIONAL MARINE FISHERIES SERVICE	1
SERVICE UNITED STATES GOVERNMENT PRINTING OFFICE	1
BUREAU OF STANDARDS	1
NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION NATIONAL ENVIRONMENTAL SATELLITE DATA AND INFORMATION SERVICE NATIONAL CLIMATIC CENTER	1
OFFICE OF HISTORIAN DEPARTMENT OF STATE	1
UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE OFFICE OF EDUCATION OFFICE OF LIBRARIES AND LEARNING RESOURCES	1
UNITED STATES FEDERAL COMMUNICATIONS COMMISSION	1
UNITED STATES COMMISSION ON CIVIL RIGHTS IOWA STATE ADVISORY COMMITTEE	1
DEPARTMENT OF INTERIOR FISH AND WILDLIFE SERVICE OFFICE OF BIOLOGICAL SERVICES POWER PLANT PROJECT	1
PRESIDENT COUNCIL ON PHYSICAL FITNESS AND SPORTS	1
NAVAL SAFETY CENTER	1
DIVISION OF SURGERY OF HEAD IN OFFICE OF SURGEON GENERAL	1
UNITED STATES DEPARTMENT OF AGRICULTURE PRODUCTION AND MARKETING ADMINISTRATION TOBACCO BRANCH	1
UNITED STATES DEPARTMENT OF AGRICULTURE AGRICULTURAL MARKETING SERVICE TOBACCO DIVISION	1
UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE OFFICE OF ASSISTANT SECRETARY FOR MANAGEMENT AND BUDGET ETC DEPUTY ASSISTANT SECRETARY FINANCE	1
OFFICE OF ASSISTANT SECRETARY FOR MANAGEMENT AND BUDGET ETC DEPUTY ASSISTANT SECRETARY FINANCE	1
INTERNATIONAL CANCER RESEARCH DATA BANK PROGRAM	1
OFFICE OF PUBLIC INFORMATION NATIONAL LIBRARY OF MEDICINE	1
DEPARTMENT OF HEALTH EDUCATION AND WELFARE PUBLIC HEALTH SERVICES NATIONAL INSTITUTE OF HEALTH NATIONAL CANCER INSTITUTE	1
TREASURY DEPARTMENT INTERNAL REVENUE SERVICE	1
OFFICE OF PERSONNEL MANAGEMENT	1
OFFICE OF PUBLIC AFFAIRS OFFICE OF SECRETARY OF TREASURY	1
SCIENTIFIC AND TECHNICAL INFORMATION OFFICE NATIONAL AERONAUTICS AND SPACE ADMINISTRATION ETC	1
UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE ALCOHOL DRUG ABUSE AND MENTAL HEALTH ADMINISTRATION NATIONAL INSTITUTE OF MENTAL HEALTH	1
EXECUTIVE OFFICE OF PRESIDENT OFFICE OF PROCUREMENT POLICY	1
MUNITIONS BOARD	1
LIBRARY OF CONGRESS PROCESSING SERVICES	1
DEPARTMENT OF HEALTH EDUCATION AND WELFARE EDUCATION DIVISION OFFICE OF EDUCATION OFFICE OF EVALUATION AND DISSEMINATION	1
UNITED STATES MANPOWER ADMINISTRATION	1
TOXICOLOGY INFORMATION PROGRAM NATIONAL LIBRARY OF MEDICINE	1
CROP REPORTING BOARD UNITED STATES DEPARTMENT OF AGRICULTURE	1
UNITED STATES CROP REPORTING BOARD	1
OFFICE OF LONG-RANGE ASSESSMENTS AND RESEARCH BUREAU OF INTELLIGENCE AND RESEARCH UNITED STATES DEPARTMENT OF STATE	1
UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE PUBLIC HEALTH SERVICE ALCOHOL DRUG ABUSE AND MENTAL HEALTH ADMINISTRATION NATIONAL INSTITUTE ON DRUG ABUSE NATIONAL INSTITUTE ON ALCOHOL ABUSE AND ALCOHOLISM	1
DEPARTMENT OF COMMERCE NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION ENVIRONMENTAL DATA SERVICE	1
EMERGENCY LOAN GUARANTEE BOARD	1
NATIONAL ADVISORY COUNCIL ON EXTENSION AND CONTINUING EDUCATION	1
UNITED STATES DEPARTMENT OF LABOR MINE SAFETY AND HEALTH ADMINISTRATION	1
COMPTROLLER OF ARMY	1
BUREAU OF CENSUS	1
DEPARTMENT OF HEALTH EDUCATION AND WELFARE OFFICE OF HUMAN DEVELOPMENT SERVICES ADMINISTRATION FOR PUBLIC SERVICES DIVISION OF PROGRAM MANAGEMENT STATE ADMINISTRATION AND MANAGEMENT BRANCH	1
NATIONAL CLEARINGHOUSE COMMITTEE ON FOR MENTAL HEALTH INFORMATION	1
UNITED STATES DEPARTMENT OF TRANSPORTATION FEDERAL AVIATION ADMINISTRATION OFFICE OF MANAGEMENT SYSTEMS INFORMATION AND STATISTICS DIVISION	1
UNITED STATES GOVERNMENT PRINTING OFFICE SUPT OF DOCS	1
EXECUTIVE OFFICE OF PRESIDENT UNITED STATES TRADE REPRESENTATIVE	1
SECURITIES AND EXCHANGE COMMISSION	1
DEPARTMENT OF HEALTH AND HUMAN SERVICES SOCIAL SECURITY ADMINISTRATION OFFICE OF POLICY OFFICE OF RESEARCH AND STATISTICS	1
VETERANS ADMINISTRATION	1
ENVIRONMENTAL DATA AND INFORMATION SERVICE	1
TECHNICAL INFORMATION CENTER UNITED STATES DEPART OF ENERGY	1
FEDERAL BUREAU OF INVESTIGATION UNITED STATES DEPARTMENT OF JUSTICE	1
NATIONAL INSTITUTE FOR OCCUPATIONAL SAFETY AND HEALTH	1
NATIONAL CANCER INSTITUTE GRANTS FINANCIAL AND DATA ANALYSIS BRANCH DIVISION OF CANCER RESEARCH RESOURCES AND CENTERS	1
NATIONAL STUDENT VOLUNTEER PROGRAM	1
TENNESSEE VALLEY AUTHORITY ETC	1
UNITED STATES FOOD AND DRUG ADMINISTRATION	1
OFFICE OF SCIENCE AND TECHNOLOGY EXECUTIVE OFFICE OF PRESIDENT	1
FEDERAL BUREAU OF INVESTIGATION	1
OFFICE OF WATER AND WASTE MANAGEMENT UNITED STATES ENVIRONMENTAL PROTECTION AGENCY	1
FOREIGN BROADCAST INFORMATION SERVICE JOINT PUBLICATIONS RESEARCH SERVICE	1
FEDERAL EMERGENCY MANAGEMENT AGENCY	1
UNITED STATES DEPARTMENT OF HEALTH AND HUMAN SERVICES PUBLIC HEALTH SERVICE FOOD AND DRUG ADMINISTRATION EXECUTIVE DIRECTOR OF REGIONAL OPERATIONS	1
UNITED STATES CIVIL SERVICE COMMISSION BUREAU OF RETIREMENT INSURANCE AND OCCUPATIONAL HEALTH	1
OFFICE OF DRUG ABUSE POLICY	1
ROMAN AND LITTLEFIELD	1
DEPARTMENT OF TREASURY BUREAU OF PUBLIC DEBT	1
EXECUTIVE OFFICE OF PRESIDENT COUNCIL ON ENVIRONMENTAL QUALITY	1
SOLD BY CATALOGING DISTRIBUTION SERVICE LIBRARY OF CONGRESS	1
UNITED STATES JOINT PUBLICATIONS RESEARCH SERVICE	1
NATIONAL INSTITUTE OF ARTHRITIS METABOLISM AND DIGESTIVE DISEASES	1
ENGINEER SCHOOL	1
DIVISION OF MANAGEMENT SYSTEMS AND FINANCIAL STATISTICS FEDERAL DEPOSIT INSURANCE CORPORATION	1
DIVISION OF PUBLICATIONS NATIONAL PARK SERVICE UNITED STATES DEPARTMENT OF INTERIOR	1
UNITED STATES DEPARTMENT OF AGRICULTURE FOREST SERVICE NORTHERN REGION STATE AND PRIVATE FORESTRY	1
DEPARTMENT OF AGRICULTURE EXPORT MARKETING SERVICE	1
UNITED STATES DEPARTMENT HEALTH EDUCATION AND WELFARE SOCIAL SECURITY ADMINISTRATION OFFICE OF ACTUARY	1
UNITED STATES CIVIL SERVICE COMMISSION ETC	1
UNITED STATES DEPARTMENT OF LABOR BUREAU OF LABOR STATISTICS OFFICE OF PRICES AND LIVING CONDITIONS	1
SOCIAL SECURITY BOARD	1
DOCUMENTARY STUDIES SECTION INTERNATIONAL INFORMATION ADMINISTRATION	1
UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE PUBLIC HEALTH SERVICE NATIONAL CENTER FOR HEALTH STATISTICS	1
RAILROAD RETIREMENT BOARD	1
NATIONAL HISTORICAL PUBLICATIONS AND RECORDS COMMISSION	1
ECONOMICS STATISTICS AND COOPERATIVES SERVICE UNITED STATES DEPARTMENT OF AGRICULTURE	1
UNITED STATES DEPARTMENT OF COMMERCE ECONOMIC DEVELOPMENT ADMINISTRATION OFFICE OF MINORITY BUSINESS ENTERPRISE BUREAU OF ECONOMIC ANALYSIS	1
OFFICE OF REVENUE SHARING DEPARTMENT OF TREASURY	1
OFFICE OF FEDERAL STATISTICAL POLICY AND STANDARDS	1
UNITED STATES DEPARTMENT OF HEALTH AND HUMAN SERVICES SOCIAL SECURITY ADMINISTRATION	1
UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE PUBLIC HEALTH SERVICE ALCOHOL DRUG ABUSE AND MENTAL HEALTH ADMINISTRATION NATIONAL INSTITUTE OF MENTAL HEALTH WASHINGTON	1
OFFICE OF RESEARCH AND ANALYSIS UNITED STATES TRAVEL SERVICE	1
UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE OFFICE OF EDUCATION OFFICE OF PLANNING BUDGETING AND EVALUATION	1
UNITED STATES DEPARTMENT OF AGRICULTURE FOREST SERVICE PACIFIC SOUTHWEST FOREST AND RANGE EXPERIMENT STATION	1
CLEARINGHOUSE COMMITTEE ON ON ELECTION ADMINISTRATION FEDERAL ELECTION COMMISSION	1
NAUTICAL ALMANAC OFFICE	1
HEADQUARTERS DEPARTMENT OF ARMY	1
ECONOMIC RESEARCH SERVICE UNITED STATES DEPARTMENT OF AGRICULTURE ETC	1
STATISTICS AND ANALYSIS BRANCH DIVISION OF RESEARCH GRANTS NATIONAL INSTITUTE OF HEALTH	1
OFFICE OF PUBLIC AFFAIRS NATIONAL INSTITUTE OF EDUCATION DEPARTMENT OF HEALTH EDUCATION AND WELFARE	1
NATIONAL CLEARINGHOUSE COMMITTEE ON FOR LEGAL SERVICES	1
NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION ENVIRONMENTAL DATA AND INFORMATION SERVICE NATIONAL CLIMATIC CENTER ETC	1
NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION ENVIRONMENTAL DATA AND INFORMATION SERVICE NATIONAL CLIMATIC CENTER	1
NATIONAL ADVISORY COMMITTEE ON HANDICAPPED	1
SMITHSONIAN SCIENCE INFORMATION EXCHANGE	1
UNITED STATES DEPARTMENT OF TRANSPORTATION ASSISTANT SECRETARY FOR POLICY PLANS AND INTERNATIONAL AFFAIRS OFFICE OF SYSTEMS ANALYSIS AND INFORMATION	1
EDUCATIONAL EQUITY GROUP NATIONAL INSTITUTE OF EDUCATION	1
CIVIL AERONAUTICS BOARD	1
DEPARTMENT OF HEALTH EDUCATION AND WELFARE PUBLIC HEALTH SERVICE HEALTH SERVICES ADMINISTRATION BUREAU OF COMMUNITY HEALTH SERVICES OFFICE FOR FAMILY PLANNING NATIONAL CLEARINGHOUSE FOR FAMILY PLANNING INFORMATION	1
HEADQUARTERS UNITED STATES ARMY MATERIEL COMMAND	1
DIRECTORATE	1
OAK RIDGE DIRECTED OPERATIONS TECHNICAL INFORMATION DIVISION	1
DEPARTMENT OF ENERGY ENERGY INFORMATION ADMINISTRATION OFFICE OF ENERGY DATA OPERATIONS	1
AIR POLLUTION TECHNICAL INFORMATION CENTER	1
DEPARTMENT OF COMMERCE BUREAU OF CENSUS FOREIGN TRADE DIVISION	1
FEDERAL RESERVE BANK OF PHILADELPHIA	1
FEDERAL PRISON INDUSTRIES	1
FEDERAL RESERVE BANK OF ST LOUIS	1
INFORMATION DEPARTMENT OF AUSTRIAN CONSULATE GENERAL	1
NATIONAL CENTER FOR RESEARCH IN VOCATIONAL EDUCATION OHIO STATE UNIVERSITY ETC	1
UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE PUBLIC HEALTH SERVICE NATIONAL LIBRARY OF MEDICINE	1
UNITED STATES DEPARTMENT OF COMMERCE UNITED STATES TRAVEL SERVICE	1
UNITED STATES DEPARTMENT OF LABOR BUREAU OF LABOR STATISTICS NEW ENGLAND REGIONAL OFFICE	1
UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE OFFICE OF HUMAN DEVELOPMENT SERVICES ADMINISTRATION FOR PUBLIC SERVICES	1
UNITED STATES CIVIL SERVICE COMMISSION BUREAU OF TRAINING OFFICE OF TRAINING ASSISTANCE	1
PUBLIC ADMINISTRATION SERVICE	1
UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE PUBLIC HEALTH SERVICES ETC	1
DEPARTMENT OF ENERGY OFFICE OF CONSUMER AFFAIRS	1
DEPARTMENT OF HEALTH EDUCATION AND WELFARE HEALTH CARE FINANCING ADMINISTRATION ETC	1
MILITARY TRAFFIC MANAGEMENT AND TERMINAL SERVICE	1
LIBRARY OF CONGRESS REFERENCE DEPARTMENT EUROPEAN AFFAIRS DIVISION	1
UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE PUBLIC HEALTH SERVICE CENTER FOR DISEASE CONTROL NATIONAL INSTITUTE FOR OCCUPATIONAL SAFETY AND HEALTH ETC	1
UNITED STATES DEPARTMENT OF INTERIOR BUREAU OF OUTDOOR RECREATION LAKE CENTRAL REGION	1
RESEARCH DEPARTMENT FEDERAL RESERVE BANK OF MINNEAPOLIS	1
PROJECT SHARE	1
TENNESSEE MINING DEPARTMENT	1
UNITED STATES EDUCATIONAL RESOURCES INFORMATION CENTER	1
DEPARTMENT OF LABOR LABOR-MANAGEMENT SERVICES ADMINISTRATION PENSION AND WELFARE BENEFIT PROGRAMS	1
DEPARTMENT OF COMMERCE NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION NATIONAL MARINE FISHERIES SERVICE	1
UNITED STATES GOVERNMENT PRINTING OFFICE ETC 1852-19	1
UNITED STATES DEPARTMENT OF COMMERCE FEDERAL ADVISORY COUNCIL ON REGIONAL ECONOMIC DEVELOPMENT	1
NATIONAL SCIENCE FOUNDATION RESEARCH APPLIED TO NATIONAL NEEDS DIVISION OF ENVIRONMENTAL SYSTEMS AND RESOURCES	1
ENVIRONMENTAL PROTECTION AGENCY OFFICE OF WATER PROGRAMS	1
COOPERATIVE FIRE PROTECTION STAFF GROUP STATE AND PRIVATE FORESTRY FOREST SERVICE UNITED STATES DEPARTMENT OF AGRICULTURE ETC	1
ALCOHOL DRUG ABUSE AND MENTAL HEALTH ADMINISTRATION PUBLIC HEALTH SERVICE UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE	1
OFFICE OF INTERNATIONAL HEALTH DIVISION OF PLANNING AND EVALUATION	1
TENNESSEE VALLEY AUTHORITY OFFICE OF AGRICULTURAL AND CHEMICAL DEVELOPMENT	1
HISTORICAL DIVISION UNITED STATES MARINE CORPS	1
NAVAL ANALYSIS DIVISION MARSHALLS-GILBERTS-NEW BRITAIN PART	1
HISTORICAL DIVISIONS HEADQUARTERS UNITED STATES MARINE CORPS	1
UNITED STATES NAVY DEPARTMENT	1
EMBASSY OF UNION OF SOVIET SOCIALIST REPUBLICS	1
DISTRIBUTED FOR NATIONAL MUSEUM OF AMERICAN ART SMITHSONIAN INSTITUTION BY SMITHSONIAN INSTITUTION PRESS	1
FRIENDS OF UKRAINE	1
CATALOGING DISTRIBUTION SERVICE LIBRARY OF CONGRESS	1
UNITED STATES DEPARTMENT OF HEALTH AND HUMAN SERVICES PUBLIC HEALTH SERVICES NATIONAL INSTITUTES OF HEALTH NATIONAL LIBRARY OF MEDICINE	1
GOVERNMENT PRINT OFFICE	1
SERIAL RECORD DIVISION PROCESSING SERVICES LIBRARY OF CONGRESS	1
WAR DEPARTMENT COMMITTEE ON EDUCATION AND SPECIAL TRAINING	1
FOOD ADMINISTRATION	1
DISTRIBUTED BY PUBLISHING CENTER FOR CULTURAL RESOURCES	1
NATIONAL ARCHIVES AND RECORDS SERVICE UNITED STATES GENERAL SERVICES ADMINISTRATION	1
PUBLISHED FOR LIBRARY OF CONGRESS BY GERTRUDE CLARKE WHITTALL POETRY AND LITERATURE FUND	1
ENGINEERING AND RESEARCH CENTER	1
FREER GALLERY OF ART SMITHSONIAN INSTITUTION	1
UNITED STATES DEPARTMENT OF HEALTH AND HUMAN SERVICES PUBLIC HEALTH SERVICE NATIONAL INSTITUTES OF HEALTH NATIONAL INSTITUTE OF ARTHRITIS DIABETES AND DIGESTIVE AND KIDNEY DISEASES	1
UNITED STATES DEPARTMENT OF HEALTH AND HUMAN SERVICES NATIONAL INSTITUTE ON DRUG ABUSE	1
NATIONAL MUSEUM OF AMERICAN ART	1
UNITED STATES ATOMIC ENERGY COMMISSION TECHNICAL INFORMATION SERVICE	1
MOTION PICTURE BROADCASTING AND RECORDED SOUND DIVISION LIBRARY OF CONGRESS	1
AVAILABLE FROM OFFICE OF TECHNICAL SERVICES DEPARTMENT OF COMMERCE	1
SANDIA CORPORATION CONTRACTORS FOR UNITED STATES ATOMIC ENERGY COMMISION	1
UNITED STATES GOVERNMENT PRINTOFF	1
GREAT LAKES ENVIRONMENTAL RESEARCH LABORATORY ENVIRONMENTAL RESEARCH LABORATORIES	1
UNITED STATES GOVERNMENT PRINT	1
ASSOCIATION OF PHYSICAL PLANT ADMINISTRATORS OF UNIVERSITIES AND COLLEGES	1
UNITED STATES DEPARTMENT OF TRANSPORTATION URBAN MASS TRANSPORTATION ADMINISTRATION OFFICE OF SERVICE METHODS DEMONSTRATIONS	1
AMERICAN FEDERATION OF ARTS	1
UNITED STATES DEPARTMENT OF AGRICULTURE OFFICE OF RURAL DEVELOPMENT POLICY	1
NATIONAL EDUCATION ASSOCIATION LINCOLN SESQUICENTENNIAL COMMISSION OF UNITED STATES	1
SERIAL RECORD DIVISION LIBRARY OF CONGRESS	1
UNITED STATES DEPARTMENT OF INTERIOR NATIONAL PARK SERVICE OFFICE OF ARCHEOLOGY AND HISTORIC PRESERVATION	1
USCOMMISSION OF FINE ARTS	1
NASA JET PROPULSION LABORATORY	1
DEPARTMENT OF HEALTH EDUCATION AND WELFARE PUBLIC HEALTH SERVICE HEALTH RESOURCES ADMINISTRATION BUREAU OF HEALTH PLANNING AND RESOURCES DEVELOPMENT	1
COLUMBIA UNIVERSITY PRESS	1
WAR MEMORIAL COMMITTEE UNITED STATES DEPARTMENT OF AGRICULTURE	1
DEPARTMENT OF NAVY OFFICE OF NAVAL RESEARCH	1
NATIONAL ARCHIVES TRUST FUND BOARD GENERAL SERVICES ADMINISTRATION	1
AVAILABLE FROM CUSTOMER SERVICES SECTION CATALOGING DISTRIBUTION SERVICE LIBRARY OF CONGRESS	1
OFFICE OF FEDERAL REGISTER NATIONAL ARCHIVES AND RECORDS ADMINISTRATION	1
NATIONAL ARCHIVES TRUST FUND BOARD NATIONAL ARCHIVES AND SERVICE ADMINISTRATION	1
NORTHEASTERN AREA STATE AND PRIVATE FORESTRY	1
BALLISTIC RESEARCH LABORATORIES	1
6570TH PERSONNEL RESEARCH LABORATORY AEROSPACE MEDICAL DIVISION AIR FORCE SYSTEMS COMMAND	1
BALLISTIC RESEARCH LABORATORIES ABERDEEN PROVING GROUND	1
MANAGEMENT SCIENCES RESEARCH GROUP INFORMATION SYSTEMS PROJECT GRADUATE SCHOOL OF INDUSTRIAL ADMINISTRATION CARNEGIE INSTITUTE OF TECHNOLOGY	1
VETERANS ADMINISTRATION HOSPITAL MMPI RESEARCH LABORATORY	1
UNITED STATES ATOMIC ENERGY COMMISSION DIVISION OF TECHNICAL INFORMATION	1
UNITED STATES DEPARTMENT OF HEALTH AND HUMAN SERVICES PUBLIC HEALTH SERVICE ALCOHOL DRUG ABUSE AND MENTAL HEALTH ADMINISTRATION	1
DEPARTMENT OF TRANSPORTATION URBAN MASS TRANSPORTATION ADMINISTRATION	1
METROPOLITAN STATE COLLEGE COLLEGE FOR LIVING	1
DEPARTMENT OF HEALTH EDUCATION AND WELFARE OFFICE OF HUMAN DEVELOPMENT SERVICES	1
NATIONAL BUREAU OF STANDARDS AVAILABLE BY PURCHASE FROM NATIONAL TECHNICAL INFORMATION SERVICE SPRINGFIELD VA	1
DEPARTMENT OF INTERIOR NATIONAL PARK SERVICE PRESERVATION ASSISTANCE DIVISION	1
BNA BOOKS BUREAU OF NATIONAL AFFAIRS	1
JOINT COMMITTEE ON PRINTING UNITED STATES CONGRESS	1
AMERICAN GEOPHYSICAL UNION	1
GALLERY SMITHSONIAN INSTITUTION	1
ROCKY MOUNTAIN REGIONAL OFFICE FOR FORT LARAMIE NATIONAL HISTORIC SITE	1
UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE PUBLIC HEALTH SERVICE ALCOHOL DRUG ABUSE AND MENTAL HEALTH ADMINISTRATION WASHINGTON	1
LOS ALAMOS SCIENTIFIC LABORATORY OF UNIVERSITY OF CALIFORNIA	1
FOR SALE ONLY BY SUPT OF DOCS UNITED STATES GPO	1
UNITED STATES NATIONAL PARK SERVICE	1
PRINTED AT UNION OFFICE	1
REPUBLICAN EXECUTIVE CONGRESSIONAL COMMITTEE	1
UNITED STATES DEPARTMENT OF INTERIOR OFFICE OF WATER RESEARCH AND TECHNOLOGY	1
KNICKERBOCKER PRESS	1
BIBLIO-FILIPINO DISTRIBUTOR	1
PHILIPPINE MISSION TO UNITED NATIONS	1
GENERAL SERVICE SCHOOLS PRESS	1
JOSSEY-BASS	1
SAN ANTONIO PRINTING CO	1
NASA	1
CONGRESS OF UNITED STATES OFFICE TO TECHNOLOGY ASSESSMENT	1
UNITED STATES DEPARTMENT OF STATE BUREAU OF PUBLIC AFFAIRS OFFICE OF PUBLIC COMMUNICATION	1
NATIONAL ARCHIVES AND RECORDS ADMINISTRATION	1
PRINTED BY BOOKCRAFTERS	1
MINERALOGICAL SOCIETY OF AMERICA	1
POPULATION AND FAMILY PLANNING BOARD	1
WESTINGHOUSE COMMITTEE ON HEALTH SYSTEMS	1
REFERENCE DEPARTMENT LIBRARY OF CONGRESS	1
UNITED STATES DEPARTMENT OF HEALTH AND HUMAN SERVICES PUBLIC HEALTH SERVICE HEALTH RESOURCES AND SERVICES ADMINISTRATION BUREAU OF HEALTH PROFESSIONS OFFICE OF DATA ANALYSIS AND MANAGEMENT	1
UNITED STATES DEPARTMENT OF HEALTH AND HUMAN SERVICES ALCOHOL DRUG ABUSE AND MENTAL HEALTH ADMINISTRATION NATIONAL INSTITUTE OF MENTAL HEALTH	1
PUBLISHED FOR INTERNATIONAL EXHIBITIONS FOUNDATION BY NATIONAL GALLERY OF ART	1
PUBLISHED FOR NATIONAL SCIENCE FOUNDATION BY ISRAEL PROGRAM FOR SCIENTIFIC TRANSLATIONS AVAILABLE FROM OFFICE OF TECHNICAL SERVICES UNITED STATES DEPARTMENT OF COMMERCE	1
DEPARTMENT OF COMMERCE NATIONAL FIRE PREVENTION AND CONTROL ADMINISTRATION NATIONAL FIRE SAFETY AND RESEARCH OFFICE	1
DEPARTMENT OF HEALTH EDUCATION AND WELFARE OFFICE FOR CIVIL RIGHTS OFFICE OF PROGRAM REVIEW AND ASSISTANCE	1
UNITED STATES GENERAL ACCOUNTING OFFICE DOCUMENT HANDLING AND INFORMATION SERVICES FACILITY DISTRIBUTOR	1
